"UID","parkName","panoramaID","panoramaDate","year","direction"
"--eEZmfGHhGihdF6L14cbg","Eburne-Park","iOsxtpWAa-yq5of4v9BJRg","May 2017","2017",271
"--kSxDVOMVd8_O_Jz2V9aA","Eburne-Park","wm1sUrpcXBCGiuMJgDLtNQ","May 2017","2017",237
"-01-Oy0V7cRHQSZ9J2shjA","Hillcrest-Park","ThWH8HWdjbxmKe2-QhhRqw","May 2017","2017",319
"-0Pt0S40VUb9c6xHQGq4pQ","Nelson-Park","afNoBCbt-3oAGtK7ed7pPg","May 2017","2017",337
"-14VJbluf1KuCHI3NCGzXw","Woodland-Park","lvjetGKpgHNSP2BGon2KlQ","Apr 2017","2017",71
"-1cbzYRwcLpYLWrb99FAVw","Connaught-Park","knFwLEu3gnxNeHd8f82Y9w","May 2017","2017",182
"-1y_KNq71dyf3QIVW6I5vQ","Nelson-Park","SpVJeHKnL9Fv08knhx9SPA","May 2017","2017",227
"-2CkHNQxnlYWvQz5E5rniA","Eburne-Park","w4RdWxl6jINuCziBXlEG_A","Jun 2017","2017",96
"-2cOGNwyl-6pHZ-2WYCLaw","Connaught-Park","AzCu1qeV7khRjgcQjpwIiw","Jun 2017","2017",1
"-2yi06ZoYAmRddSvAxzzyg","Winona-Park","BYG3Ktnrv9j6GFGXMIgyag","May 2017","2017",299
"-3D8R0Y-cRqdYI_CLK1EPg","Memorial-South-Park","-3D8R0Y-cRqdYI_CLK1EPg","May 2017","2017",1
"-3MXeZ6llkTwtFxLspvilg","Adanac-Park","4HsTqyBpo2Ar8gmmFkrKTQ","Aug 2017","2017",350
"-3UctKrjj14P3KBpQknwUA","Kaslo-Park","otclNv2ofeon0omXpuUJHA","May 2017","2017",180
"-45ByLOY0xKniZtfCBkmcQ","Strathcona-Park","QGQ_0kEaA31p0IzxPP-hTw","May 2017","2017",90
"-4Ti2YF7y_yg7LxSIy75Pw","Morton-Park","BCfW1ZyP0rC4NG9c0lNwGQ","May 2017","2017",187
"-4tmx9iYMD9iWIySlFab_A","Strathcona-Park","OquA3z8z6I9H5vnF43QUEw","Jun 2017","2017",223
"-4xvQjpg4eVKivnObptwcQ","Eburne-Park","z4AlqT5egUK0uuwYtirN3Q","Jun 2017","2017",82
